"","parameter","Estimate","Std. Error","t value","Pr(>|t|)","species","df"
"1","(Intercept)",-0.818473033732805,0.109103864799387,-7.50177855970323,2.2725439879004e-07,"MIGU",NA
"2","treatmentCO2Amb_WH",0.0499556942897189,0.154296165306614,0.323764976209538,0.749318306365274,"MIGU",NA
"3","treatmentCO2Amb_WL",0.185642522267486,0.288661693335193,0.643114505851381,0.527110507676445,"MIGU",NA
"4","treatmentCO2High_WA",-0.0204714750488417,0.154296165306614,-0.132676499173918,0.895712323773546,"MIGU",NA
"5","treatmentCO2High_WH",0.300543921522719,0.154296165306614,1.94783791888466,0.0649265370489545,"MIGU",NA
"6","treatmentCO2High_WL",0.308493318355703,0.218207729598775,1.41375981008069,0.172086176147578,"MIGU",NA
"7","(Intercept)",-0.688835689856287,0.0660902630434363,-10.4226501474743,3.82927521526231e-11,"NAOF",NA
"8","treatmentCO2Amb_WH",0.00814749335167223,0.0934657463368329,0.0871709013301001,0.931156098206533,"NAOF",NA
"9","treatmentCO2Amb_WL",0.403311187638832,0.104497881188455,3.85951545669607,0.000611646602557654,"NAOF",NA
"10","treatmentCO2High_WA",0.116333596252188,0.0934657463368329,1.24466556799261,0.223572381886981,"NAOF",NA
"11","treatmentCO2High_WH",-0.0072925982365607,0.0934657463368329,-0.0780242872108414,0.938363651749263,"NAOF",NA
"12","treatmentCO2High_WL",0.0358742348035686,0.0934657463368329,0.383822268687447,0.704009392875129,"NAOF",NA
"13","(Intercept)",0.203901318524712,0.068050303570305,2.99633223992975,0.00543991006951721,"POMO",NA
"14","treatmentCO2Amb_WH",0.0391910974537015,0.0962376622327316,0.407232434209858,0.686728521418448,"POMO",NA
"15","treatmentCO2Amb_WL",0.0776963268857433,0.0962376622327316,0.807338053348078,0.425826786306997,"POMO",NA
"16","treatmentCO2High_WA",-0.114948260123949,0.0962376622327316,-1.19442074399074,0.24167191097275,"POMO",NA
"17","treatmentCO2High_WH",-0.0583720631078058,0.0962376622327316,-0.606540742507279,0.548718592638014,"POMO",NA
"18","treatmentCO2High_WL",-0.0298270344275547,0.0962376622327316,-0.30993099515888,0.758756200904017,"POMO",NA
"19","(Intercept)",-0.406988541481516,0.0961051843255512,-4.23482400390456,0.000223218360613487,"VEAN",NA
"20","treatmentCO2Amb_WH",0.144053073751384,0.135913255087561,1.05988980735234,0.298252437102942,"VEAN",NA
"21","treatmentCO2Amb_WL",0.381915266600004,0.151955638709527,2.513333956169,0.0179910186130962,"VEAN",NA
"22","treatmentCO2High_WA",0.104762341480534,0.135913255087561,0.770802975861642,0.447279525687895,"VEAN",NA
"23","treatmentCO2High_WH",0.123554334968195,0.135913255087561,0.909067587915515,0.371073353057716,"VEAN",NA
"24","treatmentCO2High_WL",0.0829286024388246,0.135913255087561,0.610158313001912,0.546677627569943,"VEAN",NA
"25","(Intercept)",-1.43448429217637,0.117907735503854,-12.1661592943534,4.2057858727083e-12,"CEOC",25.4338552960654
"26","treatmentCO2Amb_WH",-0.164613476227635,0.134908624330192,-1.22018497368071,0.234323314957896,"CEOC",23.8490979444115
"27","treatmentCO2Amb_WL",0.0177878725398016,0.134908624330192,0.131851263239223,0.896207991327087,"CEOC",23.8490979443823
"28","treatmentCO2High_WA",0.206214762401367,0.166746718658249,1.23669457522585,0.227498880326764,"CEOC",25.4338552955729
"29","treatmentCO2High_WH",0.154188226704841,0.166746718658249,0.924685222866981,0.363820391890199,"CEOC",25.4338552959339
"30","treatmentCO2High_WL",0.227220675165032,0.166746718658249,1.36266954452474,0.18493157052066,"CEOC",25.433855295976
"31","(Intercept)",0.138156296614,0.0767493853303752,1.80009645705035,0.0831472106243953,"POFR",26.7187291514867
"32","treatmentCO2Amb_WH",0.208463001421808,0.0828925312487311,2.51485867642628,0.0190139778630286,"POFR",23.9999996013759
"33","treatmentCO2Amb_WL",0.273801405802672,0.0828925312487311,3.30308897168421,0.00298927917111843,"POFR",23.9999996019737
"34","treatmentCO2High_WA",0.273789514864072,0.108540021638015,2.52247521911475,0.0179239050437492,"POFR",26.7187291509123
"35","treatmentCO2High_WH",0.324527824373748,0.108540021638015,2.98993697878613,0.0059277824050434,"POFR",26.7187291507664
"36","treatmentCO2High_WL",0.300171120265037,0.108540021638015,2.76553400059306,0.0101758051781644,"POFR",26.7187291508627
"37","(Intercept)",0.0506144415421076,0.107390228402034,0.471313287021083,0.646761596562745,"SAGO",10.8382789954942
"38","treatmentCO2Amb_WH",0.111004617078117,0.109607553449157,1.01274605248449,0.318979016124931,"SAGO",31.1692214126429
"39","treatmentCO2Amb_WL",0.105909231847727,0.109607553449157,0.966258515174819,0.341352732820582,"SAGO",31.1692214128199
"40","treatmentCO2High_WA",0.0285939627636893,0.148062282259361,0.193121180677204,0.85074822124922,"SAGO",9.95246828390439
"41","treatmentCO2High_WH",0.348339822353803,0.148062282259361,2.35265738875763,0.0405704711739663,"SAGO",9.95246828411131
"42","treatmentCO2High_WL",0.0579505319911543,0.148062282259361,0.391392940233369,0.70375551037796,"SAGO",9.9524682847547
"43","(Intercept)",-0.401072837539572,0.113938312413341,-3.5200875723398,0.00644717272704007,"TACH",9.06022068094513
"44","treatmentCO2Amb_WH",-0.156509567444578,0.116953811310141,-1.3382169053862,0.193367244672135,"TACH",23.9999461340325
"45","treatmentCO2Amb_WL",-0.0416343853459047,0.116953811310141,-0.355989983391798,0.724958298374063,"TACH",23.9999461351747
"46","treatmentCO2High_WA",0.110490012506156,0.16113310668885,0.685706462046398,0.510061488997668,"TACH",9.06022067488532
"47","treatmentCO2High_WH",0.0116980330122753,0.16113310668885,0.0725985692987621,0.943703007211536,"TACH",9.06022067504944
"48","treatmentCO2High_WL",0.197599732674938,0.16113310668885,1.22631367777514,0.250996324898471,"TACH",9.06022067471682
